x,y,color
194.452,363.123,1
138.191,369.528,1
172.762,324.576,1
166.321,342.129,1
176.53,343.547,1
161.773,350.404,1
183.168,372.223,1
129.898,326.107,1
174.682,330.318,1
168.092,331.83,1
154.945,329.416,1
154.581,366.177,1
192.739,338.016,1
171.829,319.959,1
152.072,342.404,1
175.094,321.902,1
139.807,367.959,1
144.727,363.41,1
185.038,359.301,1
162.91,380.567,1
149.332,322.096,1
147.813,369.185,1
169.774,334.662,1
177.629,375.408,1
174.195,357.187,1
132.062,338.832,1
200.468,335.644,1
165.883,375.174,1
152.479,377.285,1
123.22,338.794,1
162.725,339.915,1
188.031,330.014,1
156.903,318.774,1
142.494,336.65,1
179.727,378.364,1
175.568,353.932,1
125.823,328.684,1
186.492,366.136,1
191.181,349.959,1
151.856,375.167,1
181.366,373.854,1
150.449,322.89,1
142.127,365.116,1
159.853,342.331,1
155.613,377.032,1
151.534,315.214,1
166.838,308.485,1
155.358,377.929,1
152.655,345.182,1
142.978,361.95,1
159.181,354.447,1
144.133,356.156,1
179.363,343.574,1
184.109,355.875,1
156.03,330.695,1
158.234,316.942,1
183.617,352.579,1
181.997,312.281,1
163.921,328.34,1
178.29,308.199,1
132.401,322.735,1
167.759,340.476,1
197.029,342.743,1
172.193,364.859,1
129.107,332.022,1
156.466,354.278,1
171.972,349.879,1
125.206,346.962,1
153.879,308.064,1
132.796,343.359,1
153.636,309.867,1
153.41,309.122,1
129.6,333.61,1
197.979,337.757,1
146.451,359.416,1
160.971,335.471,1
164.317,335.97,1
184.485,339.211,1
176.65,371.485,1
167.174,328.263,1
162.034,345.997,1
178.86,324.684,1
182.901,351.725,1
134.443,361.955,1
148.658,310.898,1
157.497,371.658,1
188.627,340.491,1
187.152,331.229,1
188.385,321.231,1
131.505,318.993,1
185.668,335.604,1
133.87,335.02,1
180.488,328.618,1
127.327,350.908,1
136.333,340.328,1
128.484,330.468,1
145.897,328.558,1
163.283,357.159,1
170.83,311.777,1
163.71,366.165,1
314.833,365.398,2
318.342,340.531,2
337.718,305.692,2
340.122,351.188,2
353.396,329.17,2
349.132,351.455,2
300.119,345.111,2
332.038,329.567,2
366.213,324.547,2
311.678,340.689,2
326.846,358.512,2
356.246,320.109,2
303.768,337.46,2
328.638,350.035,2
336.078,350.882,2
321.703,372.978,2
343.329,369.994,2
345.193,326.957,2
369.885,325.104,2
365.499,359.163,2
373.097,340.763,2
351.49,372.812,2
328.436,316.801,2
321.474,383.121,2
304.788,343.217,2
359.632,336.229,2
352.146,328.862,2
349.633,380.861,2
357.739,321.053,2
312.171,345.928,2
307.329,340.702,2
371.565,331.405,2
310.511,345.281,2
361.162,352.626,2
371.977,335.02,2
335.147,314.891,2
309.119,321.986,2
334.993,339.566,2
370.213,334.867,2
301.754,350.545,2
350.748,323.821,2
336.719,335.237,2
323.167,328.544,2
345.661,333.121,2
347.617,370.365,2
329.298,307.033,2
331.361,377.574,2
295.095,342.319,2
333.539,311.89,2
322.76,307.044,2
354.668,341.4,2
343.402,339.059,2
333.868,312.928,2
304.473,365.008,2
306.04,344.25,2
314.309,322.429,2
308.677,364.606,2
331.047,343.179,2
312.98,349.579,2
316.539,353.64,2
361.789,349.989,2
330.693,336.872,2
341.805,361.755,2
371.168,345.096,2
355.725,329.737,2
338.883,358.015,2
346.037,366.652,2
317.885,368.544,2
338.189,348.672,2
342.46,342.193,2
351.887,311.603,2
376.024,330.619,2
325.111,316.065,2
330.765,363.646,2
321.18,315.663,2
315.665,323.192,2
313.86,374.769,2
334.586,329.567,2
318.411,345.202,2
368.832,354.848,2
340.258,369.252,2
357.02,345.129,2
342.994,310.67,2
367.37,322.193,2
319.294,329.545,2
344.49,338.303,2
327.318,353.692,2
322.171,376.74,2
342.261,333.749,2
341.53,321.295,2
323.992,338.852,2
320.544,334.019,2
362.763,354.907,2
339.705,367.928,2
368.188,341.876,2
309.967,361.84,2
319.884,313.587,2
358.554,376.035,2
337.131,362.059,2
309.395,365.09,2
431.691,161.683,3
440.541,147.443,3
456.744,170.562,3
476.6,45.718,3
482.255,82.785,3
492.166,86.233,3
428.855,108.992,3
478.584,54.568,3
526.738,80.445,3
519.726,64.114,3
437.223,89.016,3
452.837,67.247,3
494.467,84.637,3
503.446,73.822,3
446.606,163.869,3
482.456,41.754,3
470.216,82.183,3
479.218,153.336,3
481.596,150.747,3
529.089,85.565,3
537.606,91.828,3
489.323,53.989,3
516.314,56.174,3
489.694,53.469,3
525.191,87.662,3
462.369,172.691,3
477.011,43.279,3
443.575,75.477,3
480.505,59.468,3
445.168,121.036,3
453.824,56.455,3
469.035,155.808,3
506.497,171.391,3
478.121,170.152,3
466.572,68.819,3
419.133,127.199,3
482.757,180.824,3
455.329,78.197,3
504.016,164.453,3
521.958,89.828,3
493.331,157.034,3
457.738,147.949,3
440.408,146.542,3
493.7,81.478,3
438.753,110.45,3
433.38,135.975,3
438.797,115.729,3
444.988,163.518,3
490.101,56.147,3
458.455,171.723,3
460.405,165.011,3
504.405,73.147,3
439.119,119.693,3
517.589,55.822,3
523.466,67.773,3
428.665,126.795,3
449.75,132.161,3
455.69,139.93,3
423.173,123.604,3
432.501,87.168,3
490.836,166.186,3
488.985,46.419,3
468.571,154.661,3
430.442,157.874,3
464.638,57.017,3
446.989,60.668,3
497.729,179.01,3
529.99,82.646,3
451.672,48.477,3
427.845,139.381,3
483.317,164.96,3
445.339,57.294,3
527.511,93.643,3
442.739,153.699,3
528.601,80.789,3
515.12,66.087,3
505.503,162.45,3
436.787,132.524,3
506.119,92.784,3
426.709,125.924,3
445.818,130.619,3
436.16,99.51,3
431.04,69.589,3
467.237,163.015,3
436.353,91.968,3
476.852,179.141,3
457.219,61.058,3
450.257,157.572,3
425.758,144.367,3
