x,y,color
607.796021,225.123001,1
337.240997,355.937012,5
174.166,156.988007,8
88.382004,391.389008,6
499.385986,126.143997,2
230.876999,436.569,6
361.192993,349.372009,5
232.806,439.588989,6
576.734009,441.625,1
644.30603,259.428009,1
523.13501,404.03299,1
636.046021,181.612,1
143.621994,357.248993,4
617.945007,162.753998,1
553.119019,330.291992,1
35.785999,350.471985,6
140.328995,87.487,7
118.639999,397.862,6
639.434998,328.315002,0
496.096008,224.850998,2
108.523003,282.869995,6
585.755005,290.903992,1
585.280029,294.417999,1
215.738007,99.917,7
162.154007,112.124001,7
602.809021,449.429993,1
159.429993,101.156998,7
426.097992,131.962997,3
120.652,393.561005,6
299.806,101.642998,7
646.812988,175.011993,1
437.278015,378.592987,6
322.484985,334.128998,5
253.947998,76.347,7
185.050995,271.686005,6
538.145996,406.723999,1
378.747009,413.286011,6
496.562012,469.368988,0
559.901001,46.688,0
268.17099,423.519989,6
229.033005,411.661987,6
553.585999,453.462006,1
523.887024,82.848999,3
639.809998,440.011993,1
184.554001,157.526001,8
109.144997,79.592003,7
613.468994,239.093002,1
27.594,360.195007,6
181.949005,168.673996,8
523.702026,126.336998,2
527.716003,307.20401,1
489.75,242.395996,2
109.014,297.536011,6
142.535995,80.945,7
354.954987,191.406998,0
657.875977,387.354004,0
322.462006,433.216003,6
273.862,281.304993,6
207.005997,106.730003,7
35.724998,355.282013,6
638.268005,337.747009,0
546.859009,441.519989,1
255.725006,408.868011,6
140.490005,419.932007,6
368.539001,358.45401,5
223.647995,97.890999,7
125.968002,318.029999,4
602.679016,187.337006,1
560.55603,189.518997,2
496.713989,422.186005,1
248.037994,178.757996,8
330.765015,363.645996,5
31.242001,85.268997,7
23.888,352.251007,6
513.166992,84.627998,3
391.848999,69.875,0
477.010986,43.278999,3
496.803986,109.220001,2
421.923004,284.760986,6
216.695999,121.360001,7
584.539978,291.368988,1
179.363007,343.574005,4
33.757999,460.664001,0
474.868988,217.076004,2
171.352005,177.783997,8
133.778,96.550003,7
658.809998,318.148987,0
270.053986,267.865997,6
152.751007,427.648987,6
317.289001,75.749001,7
570.237,272.608002,1
331.479004,158.473007,8
504.851013,253.261002,2
127.350998,171.348999,8
474.188995,389.984009,0
607.336975,414.319,1
672.754028,443.584991,1
529.145996,440.194,1
231.613007,273.80899,6
618.103027,192.542007,1
439.800995,381.091003,6
448.907013,319.64801,6
494.740997,176.848999,3
516.536987,90.714996,3
414.194,315.346008,6
543.606018,376.45401,1
237.889008,251.472,6
528.66803,302.446014,1
82.781998,160.994003,8
358.661987,406.113007,6
625.935974,112.658997,1
63.834,407.371002,6
246.255005,144.218002,8
150.882004,316.723999,4
515.624023,303.335999,1
319.237,235.703995,0
370.337006,190.397995,0
437.675995,294.256012,6
584.044983,460.295013,1
65.753998,386.653992,6
27.995001,377.312012,6
449.855988,99.008003,3
478.200012,329.863007,6
581.771973,291.835999,1
464.897003,343.644012,6
40.033001,74.324997,7
624.372009,132.507004,1
634.765015,400.872986,1
539.544983,398.141998,1
174.766998,74.719002,7
351.670013,410.950989,6
604.155029,197.240005,1
25.367001,163.195007,8
322.522003,255.481003,6
200.897995,280.352997,6
111.919998,273.05899,6
628.763,424.105988,1
77.152,310.640015,6
476.229004,426.437988,0
512.958008,254.414993,2
602.971985,150.763,1
588.882019,301.082001,1
67.975998,157.570007,8
301.041992,143.709,8
217.225998,116.286003,7
570.370972,302.122009,1
570.539001,330.729004,0
234.459,431.799988,6
261.005005,251.365005,6
537.47998,372.144012,1
345.011993,338.888,5
557.807007,146.949997,2
657.734009,192.602997,1
543.89502,320.299988,1
219.119995,70.973999,7
490.593994,237.162994,2
268.402008,326.884003,0
83.275002,97.813004,7
285.570007,89.351997,7
312.286987,111.995003,7
494.46701,84.637001,3
569.340027,166.475998,2
337.036011,356.350006,5
598.695007,268.283997,1
310.661011,94.184998,7
382.71701,318.751007,0
396.790985,284.953003,6
649.210999,312.963013,0
188.031006,330.014008,4
341.688995,305.191986,5
657.823975,228.440994,1
623.942017,242.761993,1
588.025024,419.772003,1
493.700012,81.477997,3
484.996002,236.309006,2
508.166992,224.352005,2
168.283005,257.950012,6
592.919006,310.885986,1
243.063004,441.615997,6
175.444,426.841003,6
651.400024,369.423004,0
471.001007,209.154007,2
305.458008,38.550999,0
70.221001,380.265991,6
605.15802,394.075012,1
435.459991,348.162994,6
566.947021,179.117996,2
641.044006,200.835999,1
84.650002,91.606003,7
260.457001,142.028,8
557.549011,203.253006,2
112.528,143.300003,8
133.973007,165.098007,8
60.351002,148.181,8
623.263,184.972,1
69.485001,110.584999,7
561.010986,278.402008,1
306.803009,261.514008,6
46.757999,163.164001,8
64.487999,246.779007,0
519.562012,234.658005,2
406.476013,376.234985,6
510.079987,367.744995,1
606.455994,421.615997,1
129.085007,426.164001,6
460.388,68.038002,3
364.493988,57.263,0
354.938995,131.378006,0
647.203003,124.432999,1
330.640015,159.322998,8
112.369003,164.192001,8
533.562012,285.674011,1
182.901001,351.725006,4
425.955994,78.905998,3
58.693001,307.798004,6
540.38501,373.821991,1
558.215027,298.018005,1
370.118988,347.432007,5
648.85498,454.813995,1
422.701996,368.898987,6
286.006989,174.035995,8
687.921997,340.661011,0
490.091003,436.5,0
454.322998,71.044998,3
530.661011,287.247009,1
240.908005,434.338989,6
250.070999,170.802994,8
56.216,139.917999,8
519.015991,312.283997,1
60.924999,378.11499,6
551.221985,101.063004,0
438.763,98.045998,3
609.724976,289.156006,1
186.873001,174.212997,8
375.891998,394.110992,6
618.437012,212.160004,1
189.214005,322.730011,4
303.214996,421.967987,6
133.606003,95.373001,7
331.539001,68.709,0
267.519012,99.886002,7
422.70401,158.604004,3
19.179001,347.700012,6
258.335999,153.634003,8
120.665001,425.105988,6
503.446014,73.821999,3
523.073975,250.800995,2
195.630005,172.617004,8
31.469,394.822998,6
32.800999,405.256012,0
141.203003,286.998993,6
514.827026,252.996994,2
503.53299,123.134003,2
32.862,229.522995,0
543.364014,420.649994,1
175.182999,161.289001,8
216.007996,389.605988,0
48.813999,394.997009,6
496.246002,290.593994,0
667.429993,412.675995,1
61.016998,279.733002,6
173.020996,400.529999,6
30.176001,163.656006,8
434.173004,151.386993,3
183.272003,77.112999,7
591.130005,404.273987,1
315.369995,418.723999,6
66.847,151.070999,8
440.130005,142.847,3
255.815994,170.339005,8
216.106003,380.60199,0
482.756989,180.824005,3
461.579987,60.666,3
147.813004,369.184998,4
216.832993,382.61499,0
625.208984,346.770996,0
317.621002,108.413002,7
429.270996,329.774994,6
572.038025,195.970001,2
649.367981,429.450012,1
351.338013,309.718994,5
41.633999,86.157997,7
405.209991,376.181,6
531.190002,85.055,3
16.049999,340.187012,6
364.868011,243.326996,0
518.534973,439.873993,1
512.570984,74.297997,3
549.317993,161.796005,2
315.492004,414.358002,6
433.709015,143.261993,3
152.479004,377.285004,4
639.578979,83.864998,1
379.170013,264.622986,6
538.380981,91.417999,3
274.747986,165.606995,8
429.675995,399.496002,6
74.420998,165.548996,8
278.109009,99.065002,7
610.484985,423.759003,1
97.632004,246.050003,0
576.257996,457.565002,1
219.664993,434.106995,6
465.496002,171.522003,3
605.297974,408.675995,1
631.138,206.869003,1
433.531006,306.699005,6
351.776001,257.867004,6
626.16803,325.358002,0
668.906982,412.209015,1
160.660995,77.249001,7
251.716003,274.013,6
73.250999,159.110001,8
554.992004,278.709015,1
571.288025,186.591003,2
188.610992,358.993011,4
303.769989,323.378998,5
156.759003,400.334015,6
301.647003,91.851997,7
551.320007,326.403015,1
507.993011,254.287994,2
599.632019,302.325989,1
377.093994,66.892998,0
558.439026,412.091003,1
630.903015,435.946014,1
191.190994,414.019989,6
560.585022,287.743011,1
110.556999,417.752014,6
130.671997,174.029999,8
293.56601,436.722992,6
81.142998,92.218002,7
512.989014,248.854996,2
564.474976,461.247986,1
569.252014,150.449997,2
657.570007,351.821014,0
657.953979,380.846008,0
497.824005,309.343994,0
319.141998,92.306999,7
662.460999,425.959015,1
641.059021,422.10199,1
220.307007,81.277,7
613.867981,158.554001,1
584.97699,380.704987,1
29.612,444.678986,0
618.039001,269.868988,1
570.021973,209.903,2
315.852997,272.647003,6
446.259003,336.796997,6
488.473999,83.054001,3
646.815002,132.509995,1
169.203995,62.771,7
486.966003,158.690002,3
484.316986,233.798004,2
148.764008,333.996002,4
505.015991,57.698002,3
81.736,91.847,7
534.138,427.444,1
21.462,77.293999,7
663.104004,332.218994,0
233.688995,95.781998,7
466.682007,311.796997,6
548.348022,415.316986,1
602.997009,224.061996,1
516.612,398.752014,1
469.035004,155.807999,3
118.736,176.804001,8
635.14801,78.228996,1
489.701996,224.149994,2
596.012024,254.707993,1
52.150002,153.889999,8
287.026001,144.792007,8
113.077003,262.595001,6
468.825012,57.849998,3
602.546021,301.322998,1
516.723022,139.649002,2
512.791016,438.881012,1
525.236023,224.789993,2
625.452026,147.929001,1
641.5,409.786011,1
124.792999,348.795013,4
86.834999,161.037994,8
175.102997,110.700996,7
230.856003,161.822998,8
557.455994,257.519989,2
403.13501,307.951996,6
513.051025,360.575989,1
201.488998,276.181,6
175.567993,353.932007,4
178.281998,80.975998,7
352.105011,401.843994,6
426.936005,383.645996,6
238.964996,98.246002,7
129.201004,68.598,7
628.718994,394.089996,1
40.202,324.015015,6
576.439026,273.065002,1
217.514999,147.199005,8
57.620998,204.113998,0
228.014999,438.665009,6
487.709991,214.871002,2
475.069,220.199997,2
168.091995,331.829987,4
288.195007,413.503998,6
137.806,240.352997,0
529.140015,298.157013,1
360.470001,261.147003,6
486.403015,152.427002,3
429.007996,147.643005,3
655.112,337.112,0
465.438995,325.735992,6
131.647003,428.019989,6
193.505997,259.307007,6
596.784973,395.19101,1
8.375,344.164001,6
179.578003,97.151001,7
141.203003,265.821991,6
72.005997,158.556,8
81.107002,293.346985,6
478.958008,208.882996,2
653.791016,453.915009,1
257.712006,275.192993,6
65.714996,293.321991,6
126.732002,142.033997,8
163.651993,340.605011,4
47.862999,148.737,8
138.682007,373.622986,4
194.253998,354.981995,4
551.01001,256.533997,2
114.928001,171.688995,8
27.764,181.220001,8
124.917,416.612,6
446.471008,303.576996,6
163.449997,83.334999,7
200.947006,339.839996,4
214.916,246.544006,6
364.118011,275.187012,6
687.859985,471.365997,0
673.505981,317.64801,0
606.388977,374.335999,0
17.427,102.032997,7
260.291992,244.798996,6
183.410995,143.669006,8
247.585999,174.610992,8
321.653992,366.675995,5
21.496,338.60199,6
429.455994,280.464996,6
650.276978,334.432007,0
65.510002,68.935997,7
548.023987,195.492996,2
618.682007,179.580994,1
294.989014,162.162994,8
224.667007,144.895996,8
508.447998,384.90799,1
517.963013,234.854004,2
219.796997,440.966003,6
197.707001,269.556,6
381.389008,264.362,6
643.041992,102.249001,1
467.95401,417.692993,0
126.082001,394.15799,6
173.335007,169.134003,8
399.773987,381.618988,6
195.906006,101.379997,7
177.643997,375.251007,4
645.851013,247.667007,1
607.120972,245.800995,1
47.905998,383.667999,6
377.70401,366.003998,0
578.007019,77.838997,0
144.578003,173.684006,8
163.710007,366.165009,4
155.442001,321.544006,4
527.367004,119.724998,2
389.937012,300.233002,6
605.19397,198.729004,1
588.252991,281.569,1
423.666992,390.765991,6
268.679993,260.722992,6
546.106018,448.691986,1
582.620972,456.449005,1
602.632019,213.401993,1
319.819,93.380997,7
115.794998,145.863998,8
73.585999,72.905998,7
282.821991,441.895996,6
388.812012,237.848007,0
17.618,76.707001,7
17.895,324.755005,6
326.360992,141.649002,8
97.421997,224.052994,0
92.818001,95.487999,7
543.85199,205.453003,2
644.083008,85.889999,1
345.423004,339.683014,5
367.371002,413.261993,6
633.869019,188.259003,1
51.056999,424.76001,0
168.675995,280.826996,6
368.075012,282.704987,6
240.766006,258.825989,6
656.723022,118.198997,1
107.828003,183.764008,8
482.561005,41.643002,3
134.272003,291.43399,6
166.847,365.966003,4
281.10199,410.354004,6
314.755005,374.811005,5
518.202026,424.382996,1
493.311005,132.279999,2
319.192993,70.490997,7
